,sent_no,sent_raw,jockers_rinker,jockers,huliu,lmcd,nrc,senticnet,sentiword,sent_clean,char_len,token_len,jockers_rinker_stdscaler,jockers_rinker_medianiqr,jockers_rinker_lnorm_stdscaler,jockers_rinker_lnorm_medianiqr,jockers_stdscaler,jockers_medianiqr,jockers_lnorm_stdscaler,jockers_lnorm_medianiqr,huliu_stdscaler,huliu_medianiqr,huliu_lnorm_stdscaler,huliu_lnorm_medianiqr,senticnet_stdscaler,senticnet_medianiqr,senticnet_lnorm_stdscaler,senticnet_lnorm_medianiqr,sentiword_stdscaler,sentiword_medianiqr,sentiword_lnorm_stdscaler,sentiword_lnorm_medianiqr,nrc_stdscaler,nrc_medianiqr,nrc_lnorm_stdscaler,nrc_lnorm_medianiqr,lmcd_stdscaler,lmcd_medianiqr,lmcd_lnorm_stdscaler,lmcd_lnorm_medianiqr,jockers_rinker_stdscaler_roll10,jockers_stdscaler_roll10,huliu_stdscaler_roll10,senticnet_stdscaler_roll10,sentiword_stdscaler_roll10,nrc_stdscaler_roll10,lmcd_stdscaler_roll10,lmcd_stdscaler_roll10_mean,mean_stdscaler_roll10,jockers_rinker_roll100,jockers_roll100,huliu_roll100,senticnet_roll100,sentiword_roll100,nrc_roll100,lmcd_roll100
0,1,"0,MARLEY'S GHOST",-0.42426406871192796,-0.42426406871192796,0.0,0.0,0.0,-0.42426406871192796,-0.0883883476483184,own ghost,9,2,-1.4698178138242648,-1.287048414813113,-0.10563717632013513,-14.924164775746531,-1.6453630283134932,-1.482756743878802,-4.168433187420518,-17.652906277788414,-0.008696689611804882,0.0,-0.02705914765754558,0.0,-1.4489258381161327,-1.1527342250760688,-0.08505089980859057,-8.941598807495144,-0.534940712344409,-0.42332552339650426,-0.07588079578348873,-3.6215115959375686,-0.16402415147093685,0.0,-0.10108414916617316,0.0,0.010733266190599338,0.0,-0.013119286249658456,0.0,,,,,,,,,,,,,,,,
1,2,"1,MARLEY was dead: to begin with.",-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,0.0,0.0,-0.14860237772884602,-0.10206207261596599,was dead to begin with,22,5,-1.415814982899393,-1.238462914587388,-0.05716331491826834,-5.761512244485122,-1.58700971073453,-1.4267833420352671,-1.6439731834027334,-6.8149499284216155,-1.2492936320500152,-1.5889428132795356,-0.057538319262800494,-16.350153738740755,-0.6551641409805923,-0.49938689499862277,-0.012515748950179286,-1.378486756979197,-0.6085390712772176,-0.48881420977562323,-0.04819174695732181,-1.6777126533028752,-0.16402415147093685,0.0,-0.10108414916617316,0.0,0.010733266190599338,0.0,-0.013119286249658456,0.0,,,,,,,,,,,,,,,,
2,3,"2,There is no doubt whatever about that.",0.28347335475692,0.28347335475692,0.3779644730092271,0.3779644730092271,0.3779644730092271,-0.160256936555912,-0.28347335475692,is no doubt whatever about that,31,6,0.9165679007388355,0.8599453943609241,-0.009039694595959278,3.3349368273993623,0.9332707411185067,0.9907085220576778,0.862246689304336,3.9446982890525706,1.1398728954138608,1.471075193923338,-0.003536130888864265,12.618615280889276,-0.6887231834465461,-0.5270094306717475,-0.011317819493745003,-1.2535807686355396,-1.5849791188181128,-1.35766206139412,-0.07962619642479815,-3.8844424698735653,0.9523570971966341,1.5583874449479582,0.8504896697335758,7.810813816465485,2.255130000915461,0.3779644730092271,1.6720704582926273,0.06288926339587805,,,,,,,,,,,,,,,,
3,4,"3,""The register of his burial was signed by the clergyman, the clerk, the undertaker, and the chief mourner.""",-0.353553390593274,-0.353553390593274,-0.235702260395516,0.0,-0.235702260395516,0.34883934538536304,-0.0294627825494395,register of his burial was signed by the clergyman the clerk the undertaker and the chief mourner,97,17,-1.2313918856002604,-1.0725403456775964,-0.034457517595721514,-1.4696047030790997,-1.3877294252146128,-1.2356306198990041,-0.46148275366576696,-1.7383079374071515,-0.7249556682843328,-0.9173765609738619,-0.032242084825926734,-2.7803189869719147,0.7772082171698015,0.679602541316411,0.007543285391961983,0.7130333206573337,-0.21777586511171163,-0.1411085077988349,-0.026325016007038682,-0.14264625333792902,-0.8602101757264266,-0.9718253158075506,-0.3107488942510947,-1.720993427108518,0.010733266190599338,0.0,-0.013119286249658456,0.0,,,,,,,,,,,,,,,,
4,5,"4,""Scrooge signed it: and Scrooge's name was good upon 'Change, for anything he chose to put his hand to.""",0.172061800402921,0.172061800402921,0.22941573387056197,0.22941573387056197,0.22941573387056197,0.46043737787821704,0.145774580896919,signed it and scrooge own name was good upon change for anything he chose to put his hand to,92,19,0.5409046491835696,0.5219670572876955,-0.02329713573829781,0.6399590518692332,0.5273439286658994,0.601337265458103,0.11973641917996847,0.7569694742736319,0.6884586068957514,0.8929087765993893,-0.02254518883688373,2.4214542850449905,1.0985522652042143,0.9441016681667105,0.009027810105701703,0.8678220902249322,0.7254332753294785,0.6981700913974301,-0.01529709148339996,0.6315250864968464,0.5135935658856696,0.9459053029269179,0.08151849383547946,1.4988592777064256,1.3730304151637176,0.22941573387056197,0.31026088163736953,0.012068160645479324,,,,,,,,,,,,,,,,
5,6,"5,Old Marley was as dead as a door-nail.",-0.33333333333333304,-0.33333333333333304,-0.33333333333333304,0.0,0.0,-0.130666666666667,-0.25,marley was as dead as a door nail,33,8,-1.1632128488661728,-1.0112007353663879,-0.042248953731967236,-2.942361771967864,-1.3140578618051537,-1.1649637204964292,-0.8672513128640179,-3.480344620712482,-1.0216398514219938,-1.297366374332422,-0.04262463560012389,-8.349902818086854,-0.603518660604715,-0.4568773649521195,-0.007178748991203725,-0.8220071987837173,-1.4048099268887784,-1.197345392972051,-0.06090771590977496,-2.570386401669251,-0.16402415147093685,0.0,-0.10108414916617316,0.0,0.010733266190599338,0.0,-0.013119286249658456,0.0,,,,,,,,,,,,,,,,
6,7,"6,Mind!",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,-0.03926224448022372,0.0,-0.02668275865451557,0.0,-0.0995614097201948,0.0,-0.056582722590499956,0.0,-0.008696689611804882,0.0,-0.02705914765754558,0.0,-0.22726690533726654,-0.14718356059239104,-0.000656364001199758,-0.1419296373225901,-0.05919344149536265,0.0,-0.02429304706883663,0.0,-0.16402415147093685,0.0,-0.10108414916617316,0.0,0.010733266190599338,0.0,-0.013119286249658456,0.0,,,,,,,,,,,,,,,,
7,8,"7,""I don't mean to say that I know, of my own knowledge, what there is particularly dead about a door-nail.""",-0.261861468283191,-0.261861468283191,-0.392792202424786,0.0,0.218217890235992,-0.289051417406596,-0.19366837758444297,do not mean to say that i know of my own knowledge what there is particularly dead about a door nail,100,21,-0.9222203111070784,-0.7943835278762552,-0.031344860813796616,-0.8812424039544466,-1.053650882223276,-0.9151773310375324,-0.2993793576301153,-1.0423691910921455,-1.2023252159874576,-1.5287861865776757,-0.034051983214303624,-3.751215351371768,-1.0595840213712617,-0.8322659568593835,-0.006157130177699595,-0.7154848097350026,-1.1016068878034553,-0.9275517586604177,-0.03510689554419724,-0.7591429869686719,0.480518862965535,0.8997354108424356,0.05607160128496307,1.2899832704309184,0.010733266190599338,0.0,-0.013119286249658456,0.0,,,,,,,,,,,,,,,,
8,9,"8,""I might have been inclined, myself, to regard a coffin-nail as the deadest piece of ironmongery in the trade.""",0.178885438199983,-0.0447213595499958,0.22360679774997896,0.0,-0.22360679774997896,0.286887521513223,-0.0349385621484342,might have been inclined myself to regard a coffin nail as the deadest piece of ironmongery in the trade,104,19,0.5639129446619257,0.5426672599624845,-0.023162868489881232,0.6653385885512911,-0.262503207237852,-0.156296284221065,-0.1024106269608993,-0.1967473544278204,0.6708062405335411,0.8702998214189209,-0.02265948482695284,2.360141693168993,0.5988193206857776,0.5327701738012055,0.005377613344936388,0.4872225218585958,-0.2472490623068645,-0.1673341057019815,-0.026449155159646968,-0.1513609461067001,-0.8244842050183093,-0.9219544457292885,-0.2790631899817408,-1.4609073131613426,0.010733266190599338,0.0,-0.013119286249658456,0.0,,,,,,,,,,,,,,,,
9,10,"9,""But the wisdom of our ancestors is in the simile; and my unhallowed hands shall not disturb it, or the Country's done for.""",0.5734146386569561,0.5734146386569561,0.6776718456854929,0.20851441405707502,0.46915743162841794,0.5490705808157921,-0.0521286035142687,the wisdom of our ancestors is in the simile and my unhallowed hands shall not disturb it or the country own done for,117,23,1.8942069445664873,1.7395119128392984,-0.01736120300313863,1.761984150103086,1.9896687229471628,2.004021752510771,0.42887260810904265,2.0841461838632487,2.0506324965034257,2.637565996272448,-0.016043264153794715,5.909326906487568,1.3537695982162437,1.1541717228375683,0.008884455722901913,0.8528747819582996,-0.33977387449271107,-0.2496637730395052,-0.026950754005659286,-0.18657368716641184,1.221710743592117,1.9343856456474626,0.20742493606691662,2.532338508671827,1.2489159618466066,0.20851441405707502,0.2297047998214464,0.009061904131120166,,,,,,,,,,,,,,,,
