,sent_no,parag_no,sect_no,sent_raw,sent_clean,char_len,token_len,sentimentr,sentimentr_stdscaler,sentimentr_medianiqr,sentimentr_lnorm_stdscaler,sentimentr_lnorm_medianiqr,syuzhet,syuzhet_stdscaler,syuzhet_medianiqr,syuzhet_lnorm_stdscaler,syuzhet_lnorm_medianiqr,bing,bing_stdscaler,bing_medianiqr,bing_lnorm_stdscaler,bing_lnorm_medianiqr,sentiword,sentiword_stdscaler,sentiword_medianiqr,sentiword_lnorm_stdscaler,sentiword_lnorm_medianiqr,senticnet,senticnet_stdscaler,senticnet_medianiqr,senticnet_lnorm_stdscaler,senticnet_lnorm_medianiqr,nrc,nrc_stdscaler,nrc_medianiqr,nrc_lnorm_stdscaler,nrc_lnorm_medianiqr,afinn,afinn_stdscaler,afinn_medianiqr,afinn_lnorm_stdscaler,afinn_lnorm_medianiqr,scores,vader,vader_stdscaler,vader_medianiqr,vader_lnorm_stdscaler,vader_lnorm_medianiqr,textblob,textblob_stdscaler,textblob_medianiqr,textblob_lnorm_stdscaler,textblob_lnorm_medianiqr,pattern,pattern_stdscaler,pattern_medianiqr,pattern_lnorm_stdscaler,pattern_lnorm_medianiqr,stanza,stanza_stdscaler,stanza_medianiqr,stanza_lnorm_stdscaler,stanza_lnorm_medianiqr,flair,flair_stdscaler,flair_medianiqr,flair_lnorm_stdscaler,flair_lnorm_medianiqr,sentimentr_roll100,sentimentr_stdscaler_roll10,syuzhet_roll100,syuzhet_stdscaler_roll10,bing_roll100,bing_stdscaler_roll10,sentiword_roll100,sentiword_stdscaler_roll10,senticnet_roll100,senticnet_stdscaler_roll10,nrc_roll100,nrc_stdscaler_roll10,afinn_roll100,afinn_stdscaler_roll10,vader_roll100,vader_stdscaler_roll10,textblob_roll100,textblob_stdscaler_roll10,flair_roll100,flair_stdscaler_roll10,pattern_roll100,pattern_stdscaler_roll10,stanza_roll100,stanza_stdscaler_roll10,stanza_stdscaler_roll10_mean,mean_stdscaler_roll10
0,0,0,0,MARLEY'S GHOST,marley own ghost,14,2,-0.6,-0.5801997889154394,-0.48,-3.1677672592616752,-4.357135767844451,-0.6,-0.6321957364027859,-0.5217391304347826,-3.5962868669316355,-4.9525000371333,0.0,-0.028417657510937156,0.0,-0.04731648719107171,0.0,-0.125,-0.21286825364243078,-0.17507294706127555,-1.2088142441513008,-1.2908723478342363,-0.487,-0.7086708514066453,-0.6147186147186147,-2.509432175100168,-2.806594284494927,0.0,-0.18133512880045188,0.0,-0.14975857254320477,0.0,-0.8342981374829667,-0.8319959309872642,-0.9764846707284768,-0.6596744884395997,-12.696399849071348,"{'neg': 0.535, 'neu': 0.465, 'pos': 0.0, 'compound': -0.3182}",-0.3182,-0.9068379857800525,-0.5167681688997158,-3.427270327919384,-6.210415567561388,0.6,2.0714863978276106,2.9139966273187183,8.040832254749972,40.13989914567315,0.5412171650386826,2.456436717429393,3.050518819619741,7.939039161209251,38.362839887960945,2.5028944124489,-1.0343417200051233,-0.6097473917921207,0.6701978018593945,4.612813298805023,-0.6499,-0.4872506220989612,0.1136516824804272,-1.9256082021754328,-2.4584617813384493,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,0,MARLEY was dead: to begin with.,marley was dead to begin with,31,6,-1.0,-0.8926172071276884,-0.8,-1.7947793834552335,-2.4286863265023144,-1.0,-0.963540434436877,-0.8695652173913044,-2.0483776917168326,-2.760544945823054,-35.819704778381514,-1.1203131413747551,-1.6839535742590688,-1.0348911557828298,-12.606975964030216,-0.25,-0.3661468869133613,-0.3501458941225511,-0.8444533447439643,-0.8634453973866273,-0.364,-0.6307493671128652,-0.53865182436611,-0.8358848959655498,-0.9329345035627555,0.0,-0.18133512880045188,0.0,-0.14975857254320477,0.0,-1.5858252852960053,-1.4705243802621097,-1.8560919795614166,-0.43243393681367753,-8.071165280153362,"{'neg': 0.462, 'neu': 0.538, 'pos': 0.0, 'compound': -0.6486}",-0.6486,-1.650206882115677,-1.053349573690621,-2.369160460194996,-4.233689623522829,-0.2,-1.1337211560716394,-0.9713322091062395,-1.1242296019778355,-4.474830686788853,-0.11100260795947858,-0.9964572480758938,-0.6256555898094243,-0.7544152954415125,-2.6314429267149424,2.643042142160009,-0.9984161480686686,-0.5818847029692416,-0.08384953703195337,0.39849920075596496,-0.9914,-0.8644691648560873,-0.06341058744231864,-0.9512327282157345,-1.1409994128645802,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,1,0,There is no doubt whatever about that.,there is no doubt whatever about that,38,7,-0.75,-0.6973563207450328,-0.6,-1.177494074962595,-1.5616695601582282,-0.75,-0.75644999816557,-0.6521739130434783,-1.3524490461854002,-1.7750579662335826,-33.94536660667255,-1.0631775117657203,-1.5958373130238714,-0.849705359151308,-10.24296951341674,0.75,0.8600821792540828,1.0504376823676533,1.784731066833325,2.2208160506249484,0.424,-0.1315450612307625,-0.05132962275819413,0.27891252073693484,0.31516353920219664,-8.371065808485763,-0.9190903090621967,-1.069201807385923,-1.5290027511181,-3.2727812220444434,-0.9775600365067294,-0.9537171469007708,-1.1441621975154899,-0.24546455179372445,-4.265606559510938,"{'neg': 0.485, 'neu': 0.515, 'pos': 0.0, 'compound': -0.5719}",-0.5719,-1.4776391026091928,-0.9287860332927323,-1.8161136549080037,-3.2005058288857344,0.0,-0.3324192675968267,0.0,-0.20497938580902825,0.0,0.0,-0.40880221054652205,0.0,-0.19637823105158608,0.0,2.932680109520188,-0.9241701388512833,-0.5243019467413454,-0.10390019996044328,0.2864375474663956,-0.8756,-0.736557284178854,-0.0033701456939908025,-0.7048248149153483,-0.8078289239275217,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,1,0,"The register of his burial was signed by the clergyman, the clerk, the undertaker, and the chief mourner.",the register of his burial was signed by the clergyman the clerk the undertaker and the chief mourner,105,18,-1.5,-1.2831389798929997,-1.2,-0.9311700496965348,-1.215691684254212,-1.5,-1.3777213069794907,-1.3043478260869565,-1.0747428657420925,-1.3818052574455761,-25.704484358604844,-0.8119699106592655,-1.208417505894217,-0.28380910842581836,-3.018968475394767,-0.125,-0.21286825364243078,-0.17507294706127555,-0.23121821048464752,-0.14406737474440948,1.4800000000000002,0.5374393892914464,0.6017316017316019,0.47867734429661374,0.5388150130597658,-7.757728161621382,-0.8650358987187666,-0.9908627122732723,-0.6472656531173062,-1.1805247079740753,0.0,-0.12314183634793255,0.0,-0.03589274021116553,0.0,"{'neg': 0.133, 'neu': 0.867, 'pos': 0.0, 'compound': -0.3818}",-0.3818,-1.049931998512939,-0.6200568412505074,-0.5481010318645834,-0.8316464828058062,0.0,-0.3324192675968267,0.0,-0.20497938580902825,0.0,0.0,-0.40880221054652205,0.0,-0.19637823105158608,0.0,6.019318485225281,-0.13293899128439407,0.0893508377048001,-0.1826668125223464,-0.15378315043202564,-0.565,-0.3934706681309376,0.15767097008347594,-0.1293612380270687,-0.0297391348889319,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,1,0,"Scrooge signed it: and Scrooge's name was good upon 'Change, for anything he chose to put his hand to.",scrooge signed it and scrooge own name was good upon change for anything he chose to put his hand to,102,19,0.75,0.4742089975509013,0.6,0.3443591375661777,0.575870784676969,0.75,0.4860926194622714,0.6521739130434783,0.36329119632749624,0.6545584609835566,25.026701779259934,0.7344736844990355,1.1765536364368885,0.1708278347491946,2.7847415601619234,0.697916666666667,0.7962160820578621,0.9774906210921223,0.5412141925325696,0.762062857631232,2.21,0.9999002310350186,1.0531849103277675,0.7925135334721346,0.8901778056085706,7.694833803516993,0.4968226625339752,0.982829474583106,0.3177564265868123,1.1093570913293935,0.9690760488651405,0.7002251285207677,1.1342323133332535,0.04071685888310704,1.5593051658538428,"{'neg': 0.0, 'neu': 0.747, 'pos': 0.253, 'compound': 0.7269}",0.7269,1.444538629112083,1.1805115712545675,0.7000251165703899,1.5000616075368298,0.6499999999999999,2.2718118699463137,3.156829679595278,0.7395369133659965,4.597823797459403,0.4325069173452612,1.8809175844786996,2.437783899339444,0.4910308670111769,3.2415011910262805,6.783532342055984,0.06296014989327907,0.24128375114476927,-0.16149096281313277,-0.03543291250277787,-0.5874,-0.4182135535123715,0.14605692953803076,-0.1264577440546284,-0.025813293005581068,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,1,0,Old Marley was as dead as a door-nail.,old marley was as dead as a door nail,38,8,-1.0,-0.8926172071276884,-0.8,-1.363034348212484,-1.8222727618325727,-1.0,-0.963540434436877,-0.8695652173913044,-1.5616275075514008,-2.07127030267123,-31.2771272649591,-0.9818413169223991,-1.4703982228846126,-0.6943350679789648,-8.259575661155214,-0.75,-0.9792614199970833,-1.0504376823676533,-1.7651995710369321,-1.9435606135931198,-0.9720000000000001,-1.015922232565046,-0.914656771799629,-1.3956524142207418,-1.5596355825841404,0.0,-0.18133512880045188,0.0,-0.14975857254320477,0.0,-1.3059236913957686,-1.23270844610355,-1.528487729382171,-0.2809077730348289,-4.987014824652044,"{'neg': 0.381, 'neu': 0.619, 'pos': 0.0, 'compound': -0.6486}",-0.6486,-1.650206882115677,-1.053349573690621,-1.8033111405318434,-3.176588593929114,-0.05,-0.5327447397155298,-0.24283305227655988,-0.37741052810536196,-0.8393799134706932,-0.045305765904747504,-0.6486538865789486,-0.25536161906439275,-0.3672716330797013,-0.8058537016367663,3.4824631770553824,-0.7832383436456507,-0.4149998940973433,-0.08853947255136053,0.37228750241957365,-0.9983,-0.8720908572280468,-0.06698812671747809,-0.7031294472437154,-0.8055366011343107,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,2,0,Mind!,mind,5,1,0.0,-0.11157366159706573,0.0,-0.06564051730802271,0.0,0.0,-0.13517868935164937,0.0,-0.09894320413427944,0.0,0.0,-0.028417657510937156,0.0,-0.04731648719107171,0.0,0.125,0.09368901289943023,0.17507294706127555,2.0815102478249368,2.5689637813334802,0.07200000000000001,-0.3545398780714987,-0.2690166975881261,0.37839279498464773,0.42653905346339194,0.0,-0.18133512880045188,0.0,-0.14975857254320477,0.0,0.0,-0.12314183634793255,0.0,-0.03589274021116553,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.1909179409435034,0.0,-0.10293393494407095,0.0,0.0,-0.3324192675968267,0.0,-0.20497938580902825,0.0,0.0,-0.40880221054652205,0.0,-0.19637823105158608,0.0,10.0,0.8874718309953685,0.8807478198591474,8.773597907983017,49.90210953792324,0.9966,1.3314619127461584,0.9673355109659355,6.134355459314018,8.439491932671412,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,2,0,"I don't mean to say that I know, of my own knowledge, what there is particularly dead about a door-nail.",i do not mean to say that i know of my own knowledge what there is particularly dead about a door nail,104,20,-0.4,-0.4239910798093149,-0.32,-0.27337913970771754,-0.2917822053429067,-0.4,-0.4665233873857404,-0.3478260869565218,-0.3331481270802293,-0.33165167664960626,-24.443647588626344,-0.7735357029083446,-1.1491431316775993,-0.24973085511912682,-2.583939374307941,0.3125,0.323606962805826,0.4376823676531889,0.1679312637767114,0.3241695925970533,2.1759999999999993,0.9783609589538106,1.0321583178726033,0.7233608269098358,0.8127562432518844,7.6388110691938405,0.49188529094893335,0.9756739211370566,0.291158689133029,1.0462438463798638,-0.9401316478390128,-0.9219164447645937,-1.1003550185921893,-0.1064999469035109,-1.437132989123229,"{'neg': 0.203, 'neu': 0.797, 'pos': 0.0, 'compound': -0.6801}",-0.6801,-1.7210789167239466,-1.1045066991473813,-0.8166517419006878,-1.3333440588429832,0.18541666666666665,0.41045435817669734,0.9005059021922428,0.0509852090427818,1.2460135484635229,0.08196168562330172,0.02510829233566799,0.4619692068779239,-0.0726216998835887,0.5835781695483429,5.954167102980414,-0.1496399444459055,0.07639812920491162,-0.21698859448337068,-0.34560501907116725,-0.8829,-0.7446208137897676,-0.0071550785503188856,-0.20781259135850913,-0.13581395771877552,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,2,0,"I might have been inclined, myself, to regard a coffin-nail as the deadest piece of ironmongery in the trade.",i might have been inclined myself to regard a coffin nail as the deadest piece of ironmongery in the trade,109,19,0.7999999999999999,0.5132611748274324,0.6399999999999999,0.3716924478911244,0.6142621703221002,-0.19999999999999996,-0.3008510383686948,-0.17391304347826084,-0.22220571092408622,-0.17454892292894839,25.026701779259934,0.7344736844990355,1.1765536364368885,0.1708278347491946,2.7847415601619234,-0.15625,-0.25118791196016343,-0.21884118382659445,-0.2538454478495676,-0.17061108752938026,1.283,0.4126383128209205,0.4799010513296228,0.34343106245858385,0.3873968117576977,-7.694833803516993,-0.859492920134879,-0.982829474583106,-0.6172735716732218,-1.1093570913293935,0.0,-0.12314183634793255,0.0,-0.03589274021116553,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,-0.1909179409435034,0.0,-0.10293393494407095,0.0,0.0,-0.3324192675968267,0.0,-0.20497938580902825,0.0,0.0,-0.40880221054652205,0.0,-0.19637823105158608,0.0,6.46050699243427,-0.019844405407436688,0.17706326882254952,-0.17739898226908318,-0.12434164171309431,-0.9993,-0.8731954503254322,-0.06750661067039974,-0.25976370844376806,-0.20605755845501442,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,2,0,"But the wisdom of our ancestors is in the simile; and my unhallowed hands shall not disturb it, or the Country's done for.",but the wisdom of our ancestors is in the simile and my unhallowed hands shall not disturb it or the country own done for,122,23,0.5,0.27894811116824564,0.4,0.1601770529993379,0.3171752460295286,0.5,0.2790021831909645,0.4347826086956522,0.15564395949829643,0.3605144529421241,0.0,-0.028417657510937156,0.0,-0.04731648719107171,0.0,-0.375,-0.5194255201842918,-0.5252188411838267,-0.396780216727375,-0.33828597381314407,2.109,0.9359159227937845,0.9907235621521336,0.5659748221041812,0.6365509869304512,7.588373919805096,0.4874401857388582,0.9692317914824106,0.23114103530105043,0.9038291430925757,-0.30505905386363225,-0.3823325857009491,-0.3570492086479713,-0.055816658267158696,-0.40552970797469484,"{'neg': 0.0, 'neu': 0.746, 'pos': 0.254, 'compound': 0.817}",0.817,1.6472551471503387,1.326837190418189,0.6426667254487499,1.3929065537026755,0.6,2.0714863978276106,2.9139966273187183,0.5153196753610538,3.506353641147458,0.1882025937857253,0.5875545809502083,1.0607859309184517,0.050744856154598166,1.1653173979896887,7.3214172927271735,0.200841973085899,0.3482203460789436,-0.19768017939270927,-0.23769173335200286,0.8915,1.2153691782109488,0.9128428475138693,0.30201264346838186,0.5535256031932062,,,,,,,,,,,,,,,,,,,,,,,,,,
